"filename", "language", "pip requirements", "Properties", "Python", "Markdown", "JSON", "TypeScript", "JSON with Comments", "JavaScript", "SCSS", "Vue", "SVG", "HTML", "comment", "blank", "total"
"c:\Users\21756\Desktop\krl\examples\frontend\src\layouts\components\AppMain.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 4, 4, 34
"c:\Users\21756\Desktop\krl\examples\frontend\src\layouts\components\NavigationBar\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\21756\Desktop\krl\examples\frontend\src\layouts\components\RightPanel\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 1, 41
"c:\Users\21756\Desktop\krl\examples\frontend\src\layouts\components\Settings\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 1, 1, 8
"c:\Users\21756\Desktop\krl\examples\frontend\src\layouts\components\Sidebar\SidebarItem.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 5, 2, 88
"c:\Users\21756\Desktop\krl\examples\frontend\src\layouts\components\Sidebar\SidebarItemLink.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\21756\Desktop\krl\examples\frontend\src\layouts\components\Sidebar\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 105, 0, 0, 8, 4, 117
"c:\Users\21756\Desktop\krl\examples\frontend\src\layouts\components\TagsView\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"c:\Users\21756\Desktop\krl\examples\frontend\src\layouts\components\index.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\21756\Desktop\krl\examples\frontend\src\layouts\hooks\useResize.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 17, 1, 41
"c:\Users\21756\Desktop\krl\examples\frontend\src\layouts\index.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 1, 19
"c:\Users\21756\Desktop\krl\examples\frontend\src\main.ts", "TypeScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 5, 5, 29
"c:\Users\21756\Desktop\krl\examples\frontend\src\plugins\element-plus-icon\index.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 2, 10
"c:\Users\21756\Desktop\krl\examples\frontend\src\plugins\element-plus\index.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 1, 7
"c:\Users\21756\Desktop\krl\examples\frontend\src\plugins\index.ts", "TypeScript", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 2, 11
"c:\Users\21756\Desktop\krl\examples\frontend\src\router\helper.ts", "TypeScript", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 13, 5, 69
"c:\Users\21756\Desktop\krl\examples\frontend\src\router\index.ts", "TypeScript", 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 16, 3, 112
"c:\Users\21756\Desktop\krl\examples\frontend\src\router\permission.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 5, 6, 36
"c:\Users\21756\Desktop\krl\examples\frontend\src\stores\index.ts", "TypeScript", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\21756\Desktop\krl\examples\frontend\src\stores\modules\permission.ts", "TypeScript", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 11, 2, 78
"c:\Users\21756\Desktop\krl\examples\frontend\src\stores\modules\user.ts", "TypeScript", 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 0, 0, 17, 2, 94
"c:\Users\21756\Desktop\krl\examples\frontend\src\styles\element-plus.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 21, 7, 112
"c:\Users\21756\Desktop\krl\examples\frontend\src\styles\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 2, 4, 48
"c:\Users\21756\Desktop\krl\examples\frontend\src\styles\mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 9, 3, 43
"c:\Users\21756\Desktop\krl\examples\frontend\src\styles\theme\core\element-plus.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 2, 30
"c:\Users\21756\Desktop\krl\examples\frontend\src\styles\theme\core\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\21756\Desktop\krl\examples\frontend\src\styles\theme\core\layouts.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 3, 35
"c:\Users\21756\Desktop\krl\examples\frontend\src\styles\theme\dark-blue\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\21756\Desktop\krl\examples\frontend\src\styles\theme\dark-blue\variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 2, 7
"c:\Users\21756\Desktop\krl\examples\frontend\src\styles\theme\dark\index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\21756\Desktop\krl\examples\frontend\src\styles\theme\dark\variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3, 2, 7
"c:\Users\21756\Desktop\krl\examples\frontend\src\styles\theme\register.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 1, 1, 4
"c:\Users\21756\Desktop\krl\examples\frontend\src\styles\transition.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 3, 5, 28
"c:\Users\21756\Desktop\krl\examples\frontend\src\styles\variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 5, 2, 21
"c:\Users\21756\Desktop\krl\examples\frontend\src\styles\view-transition.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 4, 21
"c:\Users\21756\Desktop\krl\examples\frontend\src\utils\cache\local-storage.ts", "TypeScript", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 1, 11
"c:\Users\21756\Desktop\krl\examples\frontend\src\utils\css.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 1, 16
"c:\Users\21756\Desktop\krl\examples\frontend\src\utils\service.ts", "TypeScript", 0, 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 7, 5, 107
"c:\Users\21756\Desktop\krl\examples\frontend\src\utils\timedStorage.ts", "TypeScript", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 9, 11, 74
"c:\Users\21756\Desktop\krl\examples\frontend\src\utils\validate.ts", "TypeScript", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 0, 5
"c:\Users\21756\Desktop\krl\examples\frontend\src\views\AboutView.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\21756\Desktop\krl\examples\frontend\src\views\error-page\403.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\21756\Desktop\krl\examples\frontend\src\views\error-page\404.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 3, 2, 13
"c:\Users\21756\Desktop\krl\examples\frontend\src\views\error-page\components\ErrorPageLayout.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 2, 25
"c:\Users\21756\Desktop\krl\examples\frontend\src\views\home\components\Admin.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 3, 21
